"","id","x","y"
"1",1,338666.7617,8119305.76
"2",2,338666.7617,8119305.76
"3",3,338668.6404,8119304.821
"4",4,338668.6404,8119304.821
"5",5,338670.5192,8119303.881
"6",6,338670.5192,8119303.881
"7",7,338672.398,8119302.942
"8",8,338672.398,8119302.942
"9",9,338674.2767,8119302.003
"10",10,338674.2767,8119302.003
"11",11,338676.1555,8119301.063
"12",12,338676.1555,8119301.063
"13",13,338678.0342,8119300.124
"14",14,338678.0342,8119300.124
"15",15,338679.913,8119299.184
"16",16,338679.913,8119299.184
"17",17,338681.7917,8119298.245
"18",18,338681.7917,8119298.245
"19",19,338683.6705,8119297.306
"20",20,338683.6705,8119297.306
"21",21,338685.5492,8119296.366
"22",22,338685.5492,8119296.366
"23",23,338687.428,8119295.427
"24",24,338687.428,8119295.427
"25",25,338689.3067,8119294.488
"26",26,338689.3067,8119294.488
"27",27,338691.1855,8119293.548
"28",28,338691.1855,8119293.548
"29",29,338693.0642,8119292.609
"30",30,338693.0642,8119292.609
"31",31,338694.943,8119291.669
"32",32,338694.943,8119291.669
"33",33,338696.8217,8119290.73
"34",34,338696.8217,8119290.73
"35",35,338697.7611,8119289.791
"36",36,338697.7611,8119289.791
"37",37,338698.7005,8119288.851
"38",38,338698.7005,8119288.851
"39",39,338699.6399,8119287.912
"40",40,338699.6399,8119287.912
"41",41,338700.5792,8119286.973
"42",42,338700.5792,8119286.973
"43",43,338701.5186,8119286.033
"44",44,338701.5186,8119286.033
"45",45,338702.458,8119285.094
"46",46,338702.458,8119285.094
"47",47,338703.3974,8119284.154
"48",48,338703.3974,8119284.154
"49",49,338704.3367,8119283.215
"50",50,338704.3367,8119283.215
"51",51,338705.2761,8119282.276
"52",52,338705.2761,8119282.276
"53",53,338706.2155,8119281.336
"54",54,338706.2155,8119281.336
"55",55,338707.1549,8119280.397
"56",56,338707.1549,8119280.397
"57",57,338708.0943,8119279.458
"58",58,338708.0943,8119279.458
"59",59,338709.0336,8119278.518
"60",60,338709.0336,8119278.518
"61",61,338709.973,8119277.579
"62",62,338709.973,8119277.579
"63",63,338710.9124,8119276.639
"64",64,338710.9124,8119276.639
"65",65,338711.8518,8119275.7
"66",66,338711.8518,8119275.7
"67",67,338712.7911,8119274.761
"68",68,338712.7911,8119274.761
"69",69,338713.7305,8119273.821
"70",70,338713.7305,8119273.821
"71",71,338714.6699,8119272.882
"72",72,338714.6699,8119272.882
"73",73,338715.6093,8119271.943
